x,y,time
0.0,0.0,2025-07-04T11:36:16.587110
0.0,0.0,2025-07-04T11:36:16.590123
0.0,0.0,2025-07-04T11:36:16.593208
0.0,0.0,2025-07-04T11:36:16.596038
0.0,0.0,2025-07-04T11:36:16.598171
0.0,0.0,2025-07-04T11:36:16.600385
0.0,0.0,2025-07-04T11:36:16.603191
0.0,0.0,2025-07-04T11:36:16.606153
0.0,0.0,2025-07-04T11:36:16.608346
0.0,0.0,2025-07-04T11:36:16.611139
0.0,0.0,2025-07-04T11:36:16.613335
0.0,0.0,2025-07-04T11:36:16.616337
0.0,0.0,2025-07-04T11:36:16.619119
0.0,0.0,2025-07-04T11:36:16.622139
0.0,0.0,2025-07-04T11:36:16.625103
0.0,0.0,2025-07-04T11:36:16.628256
0.0,0.0,2025-07-04T11:36:16.631288
0.0,0.0,2025-07-04T11:36:16.634276
0.0,0.0,2025-07-04T11:36:16.637070
0.0,0.0,2025-07-04T11:36:16.640223
0.0,0.0,2025-07-04T11:36:16.643256
0.0,0.0,2025-07-04T11:36:16.646259
0.0,0.0,2025-07-04T11:36:16.649233
0.0,0.0,2025-07-04T11:36:16.652035
0.0,0.0,2025-07-04T11:36:16.655054
0.0,0.0,2025-07-04T11:36:16.658218
0.0,0.0,2025-07-04T11:36:16.661008
0.0,0.0,2025-07-04T11:36:16.663194
0.0,0.0,2025-07-04T11:36:16.666202
0.0,0.0,2025-07-04T11:36:16.668989
0.0,0.0,2025-07-04T11:36:16.672974
0.0,0.0,2025-07-04T11:36:16.675994
0.0,0.0,2025-07-04T11:36:16.679068
0.0,0.0,2025-07-04T11:36:16.681166
0.0,0.0,2025-07-04T11:36:16.684159
0.0,0.0,2025-07-04T11:36:16.686937
0.0,0.0,2025-07-04T11:36:16.688960
0.0,0.0,2025-07-04T11:36:16.692138
0.0,0.0,2025-07-04T11:36:16.695088
0.0,0.0,2025-07-04T11:36:16.698106
0.0,0.0,2025-07-04T11:36:16.701112
0.0,0.0,2025-07-04T11:36:16.704920
0.0,0.0,2025-07-04T11:36:16.707885
0.0,0.0,2025-07-04T11:36:16.710096
0.0,0.0,2025-07-04T11:36:16.713078
0.0,0.0,2025-07-04T11:36:16.716074
0.0,0.0,2025-07-04T11:36:16.718852
0.0,0.0,2025-07-04T11:36:16.721876
0.0,0.0,2025-07-04T11:36:16.725033
0.0,0.0,2025-07-04T11:36:16.727828
0.0,0.0,2025-07-04T11:36:16.730041
0.0,0.0,2025-07-04T11:36:16.733014
0.0,0.0,2025-07-04T11:36:16.735807
0.0,0.0,2025-07-04T11:36:16.739797
0.0,0.0,2025-07-04T11:36:16.741819
0.0,0.0,2025-07-04T11:36:16.744891
0.0,0.0,2025-07-04T11:36:16.746890
0.0,0.0,2025-07-04T11:36:16.748971
0.0,0.0,2025-07-04T11:36:16.751767
0.0,0.0,2025-07-04T11:36:16.754784
0.0,0.0,2025-07-04T11:36:16.757752
0.0,0.0,2025-07-04T11:36:16.759958
0.0,0.0,2025-07-04T11:36:16.762902
0.0,0.0,2025-07-04T11:36:16.765889
0.0,0.0,2025-07-04T11:36:16.768719
0.0,0.0,2025-07-04T11:36:16.771739
0.0,0.0,2025-07-04T11:36:16.774918
0.0,0.0,2025-07-04T11:36:16.777695
0.0,0.0,2025-07-04T11:36:16.779886
0.0,0.0,2025-07-04T11:36:16.782875
0.0,0.0,2025-07-04T11:36:16.785676
0.0,0.0,2025-07-04T11:36:16.788694
0.0,0.0,2025-07-04T11:36:16.791685
0.0,0.0,2025-07-04T11:36:16.794751
0.0,0.0,2025-07-04T11:36:16.797838
0.0,0.0,2025-07-04T11:36:16.800828
0.0,0.0,2025-07-04T11:36:16.804651
0.0,0.0,2025-07-04T11:36:16.807826
0.0,0.0,2025-07-04T11:36:16.810607
0.0,0.0,2025-07-04T11:36:16.812803
0.0,0.0,2025-07-04T11:36:16.815804
0.0,0.0,2025-07-04T11:36:16.818590
0.0,0.0,2025-07-04T11:36:16.821606
0.0,0.0,2025-07-04T11:36:16.824671
0.0,0.0,2025-07-04T11:36:16.826789
0.0,0.0,2025-07-04T11:36:16.829754
0.0,0.0,2025-07-04T11:36:16.832742
0.0,0.0,2025-07-04T11:36:16.835548
0.0,0.0,2025-07-04T11:36:16.838561
0.0,0.0,2025-07-04T11:36:16.841628
0.0,0.0,2025-07-04T11:36:16.843708
0.0,0.0,2025-07-04T11:36:16.846707
0.0,0.0,2025-07-04T11:36:16.849695
0.0,0.0,2025-07-04T11:36:16.852496
0.0,0.0,2025-07-04T11:36:16.855515
0.0,0.0,2025-07-04T11:36:16.858507
0.0,0.0,2025-07-04T11:36:16.860473
0.0,0.0,2025-07-04T11:36:16.862655
0.0,0.0,2025-07-04T11:36:16.865653
0.0,0.0,2025-07-04T11:36:16.868460
0.0,0.0,2025-07-04T11:36:16.871475
0.0,0.0,2025-07-04T11:36:16.874537
0.0,0.0,2025-07-04T11:36:16.876630
0.0,0.0,2025-07-04T11:36:16.879634
0.0,0.0,2025-07-04T11:36:16.882610
0.0,0.0,2025-07-04T11:36:16.885410
0.0,0.0,2025-07-04T11:36:16.888430
0.0,0.0,2025-07-04T11:36:16.891395
0.0,0.0,2025-07-04T11:36:16.893608
0.0,0.0,2025-07-04T11:36:16.896587
0.0,0.0,2025-07-04T11:36:16.899565
0.0,0.0,2025-07-04T11:36:16.902365
